,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,REL_H_M,P_18YMAS,P_60YMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,P_18A24,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP,GRAPROES,CVE_ENT,Entidad federativa,CVE_MUN,Nombre del municipio,CVE_LOC,Nombre de la localidad,Folio de la AGEB,Población total ,Viviendas particulares habitadas,Población de 15 años y más con educación básica incompleta,Población de 15 a 24 años que no asiste a la escuela,Población sin derechohabiencia a servicios de salud,Personas que viven en hacinamiento,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,Viviendas que no disponen de teléfono fijo,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Viviendas con piso de tierra,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Grado de rezago social (clases latentes) 
2168,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2254,0,3284,1538,1746,88,2540,561,103,104,244,124,151,374,1470,1341,1382,88,1156,2090,879,874,4,11,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012254,3768.0,960.0,48.0,68.4,48.4,12.3,0.0,36.3,19.6,51.5,5.3,6.2,2.6,0.3,0.0,0.0,Bajo
2169,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2254,0,4367,2099,2268,93,3110,275,175,183,386,212,269,623,2070,1457,1966,104,1093,3139,1158,1153,4,11,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012254,3284.0,874.0,21.0,38.5,35.2,1.3,0.3,13.6,4.1,16.5,1.6,2.2,0.8,0.0,0.0,0.0,Bajo
2170,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2254,0,4367,2099,2268,93,3110,275,175,183,386,212,269,623,2070,1457,1966,104,1093,3139,1158,1153,4,11,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012254,4367.0,1153.0,15.0,46.0,25.0,1.0,2.7,14.1,6.2,22.8,0.6,2.7,0.7,0.8,0.3,0.0,Bajo
2171,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2254,0,4367,2099,2268,93,3110,275,175,183,386,212,269,623,2070,1457,1966,104,1093,3139,1158,1153,4,11,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012254,3768.0,960.0,48.0,68.4,48.4,12.3,0.0,36.3,19.6,51.5,5.3,6.2,2.6,0.3,0.0,0.0,Bajo
2172,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2254,0,3768,1863,1905,98,2404,211,233,254,444,190,232,518,1522,1301,1423,99,1823,1933,963,960,4,8,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012254,3284.0,874.0,21.0,38.5,35.2,1.3,0.3,13.6,4.1,16.5,1.6,2.2,0.8,0.0,0.0,0.0,Bajo
2173,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2254,0,3768,1863,1905,98,2404,211,233,254,444,190,232,518,1522,1301,1423,99,1823,1933,963,960,4,8,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012254,4367.0,1153.0,15.0,46.0,25.0,1.0,2.7,14.1,6.2,22.8,0.6,2.7,0.7,0.8,0.3,0.0,Bajo
2174,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2254,0,3768,1863,1905,98,2404,211,233,254,444,190,232,518,1522,1301,1423,99,1823,1933,963,960,4,8,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012254,3768.0,960.0,48.0,68.4,48.4,12.3,0.0,36.3,19.6,51.5,5.3,6.2,2.6,0.3,0.0,0.0,Bajo
2175,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2269,0,2940,1359,1581,86,2235,472,108,109,219,115,132,311,1325,1146,1252,73,982,1928,741,734,4,11,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012269,2940.0,734.0,22.6,42.9,33.4,2.3,0.5,16.1,3.8,16.9,1.4,1.5,0.4,0.0,0.0,0.0,Bajo
2176,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2269,0,2940,1359,1581,86,2235,472,108,109,219,115,132,311,1325,1146,1252,73,982,1928,741,734,4,11,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012269,1758.0,513.0,22.7,46.9,27.0,7.4,0.4,17.7,7.8,25.9,1.9,0.7,1.0,22.0,0.0,0.0,Bajo
2177,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2269,0,2940,1359,1581,86,2235,472,108,109,219,115,132,311,1325,1146,1252,73,982,1928,741,734,4,11,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012269,3951.0,934.0,39.1,66.9,45.4,12.6,0.1,29.9,20.2,44.1,3.6,2.9,3.7,0.0,0.0,0.0,Bajo
